sal_5_lc2vs0_iate,nation
-30137.881528279075,1.0
-37879.07915036447,1.0
-31505.795690998686,2.0
-51474.15481921501,1.0
-43648.31640147758,1.0
-43117.75040256385,1.0
-60972.111146908894,1.0
-46767.49739782015,2.0
-48518.24833265154,1.0
-32715.272000276324,1.0
-58670.60852992089,1.0
-37995.45828715647,1.0
-40757.37161570125,5.0
-57146.689624757695,2.0
-55047.096697255925,1.0
-56591.100009490394,1.0
-53243.052550053864,3.0
-44774.867277395526,5.0
-61316.69459749997,1.0
-41876.65774107484,1.0
-59694.307005920506,1.0
-51053.528296513934,1.0
-29263.216641459367,1.0
-62147.515336233046,1.0
-56452.31534291728,2.0
-31288.258172117603,2.0
-50648.85076897752,1.0
-34015.60604774245,4.0
-41443.19506393777,1.0
-43905.26787592901,2.0
-29607.009075047736,5.0
-41144.74306419524,1.0
-44612.4504411819,1.0
-63327.56559056968,4.0
-55675.67747754898,1.0
-36957.650159676385,1.0
-60998.94131029574,1.0
-50296.63926617308,1.0
-35109.70719122664,1.0
-36145.37021157051,2.0
-53675.57322811529,1.0
-51434.1513072168,2.0
-52032.28914270199,2.0
-29814.718586259103,1.0
-50818.21355016026,1.0
-40096.331550601055,1.0
-59684.00691924698,1.0
-48750.39751880299,2.0
-36820.725052440066,1.0
-48632.07238982694,2.0
-60885.557183906305,5.0
-54188.47839516563,1.0
-35765.316317452,1.0
-61437.05968409229,1.0
-39549.712829560245,5.0
-53930.05493462998,2.0
-50414.55621730928,1.0
-48863.22117807697,1.0
-44262.26770409985,1.0
-41054.656856096415,1.0
-54218.752208038386,4.0
-41821.255672233856,2.0
-34684.81952911309,1.0
-55248.12590375973,1.0
-32617.74471106852,1.0
-46663.89251867071,2.0
-41076.201551169004,1.0
-32216.486633662207,1.0
-30077.18979270423,1.0
-47749.53354992129,1.0
-60318.85143148237,2.0
-41619.731288322415,3.0
-54017.64295740879,1.0
-41642.08847682504,5.0
-52201.546113125594,1.0
-56986.98501494508,1.0
-30401.58099343131,4.0
-37899.14210268888,1.0
-43880.79439051767,2.0
-47847.64418360652,5.0
-51970.819901541996,1.0
-29974.40445428997,1.0
-54136.10049551939,1.0
-39525.1697086324,5.0
-44620.079797467515,1.0
-57764.06540848039,2.0
-42677.73897178548,1.0
-43525.687136654655,5.0
-42790.2895974976,4.0
-29749.903136275047,1.0
-42547.869623778475,2.0
-55220.760282175615,1.0
-43871.3351871872,2.0
-37868.30495576351,1.0
-53456.75359537687,4.0
-33366.03381046423,1.0
-29357.38768363239,1.0
-55038.68055934127,1.0
-52916.04293296448,1.0
-41694.029263026954,1.0
-34745.25905415698,1.0
-29132.89157954266,1.0
-29734.835686139646,3.0
-44312.32180593303,1.0
-55001.68149841634,5.0
-56631.11934437495,1.0
-38835.849579667076,4.0
-47415.480418878695,1.0
-54771.44103876272,1.0
-45229.854434295405,5.0
-41941.724742676044,1.0
-40213.42462544196,1.0
-58233.92691546774,5.0
-34532.925327425735,2.0
-40569.70204217987,3.0
-43026.874857665425,5.0
-47813.10832983931,1.0
-41930.63422733403,1.0
-33225.31035405608,2.0
-50416.68131683417,2.0
-61389.233316300466,4.0
-52150.08964299034,1.0
-57910.869588645,1.0
-30584.77339087687,1.0
-52271.377553655664,1.0
-41820.24334329481,1.0
-29763.653680915475,1.0
-32187.933404216048,4.0
-50658.569394129256,1.0
-37416.78930498458,4.0
