sal_8_lc2vs0_iate,empl_x0
-8215.285395731742,94.0
-15720.35079191367,74.0
-14296.392289287347,62.0
-6144.581672491213,60.0
-10821.364210426747,74.0
-19235.13028193845,96.0
-9363.564457290693,41.0
-14199.660015309832,80.0
-28710.194915323573,94.0
-10851.263996428428,77.0
-12741.90363445871,72.0
-10789.454102107893,66.0
-9855.778786782812,100.0
-7682.5279071984605,51.0
-15163.826411046368,63.0
-15050.080914534228,81.0
-12309.309112297697,89.0
-22718.163200702293,63.0
-17129.303141419867,49.0
-24586.12545413018,58.0
-22287.522093292304,98.0
-13436.159420627242,52.0
-14130.131201398326,51.0
-17506.937151461447,104.0
-8514.951531773411,56.0
-18361.35103607091,96.0
-12802.10225389952,69.0
-12548.468678049303,96.0
-20774.16784614756,66.0
-21366.42805821703,75.0
-13995.882315643157,44.0
-18466.947795712877,94.0
-13644.251745851157,52.0
-12823.155032945046,66.0
-13725.355911972298,46.0
-11316.58163640281,46.0
-22973.62827262229,76.0
-12490.790542999868,74.0
-8838.541973407384,48.0
-7242.206331827371,42.0
-18362.364910341224,90.0
-26975.38662264504,56.0
-22992.289335263238,90.0
-14750.670040104045,78.0
-21595.645915791363,97.0
-9503.486294416263,72.0
-6447.075357458746,47.0
-15734.682424727262,37.0
-14294.184220951116,89.0
-17342.90894273177,63.0
-15432.428524139636,81.0
-24896.039549151912,112.0
-14086.946251348603,56.0
-13937.65887887005,73.0
-21651.003710231496,85.0
-12831.803892502672,111.0
-24916.644450341468,62.0
-10988.119854220033,54.0
-14740.823281274448,69.0
-11282.166233928765,40.0
-8829.21697935247,48.0
-14700.685916814287,44.0
-18062.290802300162,35.0
-11605.560777685809,87.0
-12537.867636785932,71.0
-18976.880409313413,69.0
-17911.880970982824,63.0
-14555.764470964183,95.0
-30861.431253359402,90.0
-9967.614865172709,56.0
-22649.32207580265,84.0
-12777.617697679421,39.0
-12089.91917202884,50.0
-16086.17257759767,55.0
-12036.93445391451,55.0
-8570.237958672898,26.0
-12970.838678248281,48.0
-18830.900788747746,75.0
-28739.31750841794,54.0
-20908.86117736814,54.0
-7731.318029455197,79.0
-9762.18478717513,51.0
-7617.478444100372,53.0
-11684.07763745169,56.0
-5218.243661964859,27.0
-18680.027017675908,83.0
-27321.156595681805,60.0
-8348.690194203311,58.0
-7692.5333978394665,65.0
