empl_chge_lc1vs0_iate,emplx2_2
0.9948274358378627,2.0
-0.6325029125316368,2.0
-0.3421230745870592,2.0
1.1635353610171466,2.0
-0.5598374283989749,2.0
0.12001373485580047,2.0
-0.028461016288629515,2.0
0.24144532783802145,2.0
-0.47641380344042217,3.0
-0.2962262381678943,1.0
-1.0857090509042953,2.0
0.7483645888171206,2.0
0.13624918887458604,2.0
-0.38010474440721476,1.0
0.3283197378268938,2.0
0.5475278677026801,2.0
-0.5154480268395065,1.0
-1.0192832953317996,2.0
1.6089312321865774,1.0
0.022552726959217284,2.0
-1.0852608718381964,2.0
0.16592349465410455,2.0
1.2119411297043705,2.0
-0.5385320199559834,2.0
1.6021858597899237,2.0
0.5871079785662138,2.0
0.9317316718556532,2.0
1.8214598340820336,2.0
1.2201890103358917,2.0
1.1754158694816734,2.0
-0.5755908405703942,2.0
2.28557735885733,2.0
1.1243515345897643,2.0
1.2939298727902735,2.0
1.2334627501471103,2.0
-0.2507840242565751,1.0
-1.3095010983001845,2.0
-0.4970212227043061,2.0
-0.469945711954763,1.0
-0.6232534837189898,2.0
-1.2283022747321612,1.0
-0.3314777714201562,2.0
-0.24586107706160748,2.0
-0.5048948388995059,2.0
-0.310789094181207,2.0
1.7778707271191847,1.0
-0.23232199540153217,2.0
1.6873808069270135,2.0
2.351548843310189,1.0
2.029339612565404,2.0
-0.47866682773781416,1.0
-0.342689354686431,1.0
0.5831588589156157,2.0
0.2498735218532288,2.0
-0.7162638637473553,2.0
-0.21016075844182774,1.0
0.12988083641383985,2.0
-1.2058568308887472,1.0
-1.0923251611922,2.0
-0.8759514353355213,2.0
1.0131837910513348,1.0
0.16256143147032298,2.0
0.14775629262065218,2.0
-0.38765098287685174,2.0
-0.556412453844022,1.0
-0.7211557068409242,2.0
-0.5925363722011875,2.0
0.28342038752115845,2.0
1.2343906739454145,2.0
-0.8132922276638016,2.0
1.8467921621771064,3.0
-0.6490389249928259,2.0
0.4311525907064374,2.0
0.16578174774497645,2.0
-0.8586578371627345,1.0
-1.089939317536575,2.0
0.09620464249901778,1.0
-0.13422869342558696,2.0
0.6172462396027238,2.0
-0.21290585497616804,2.0
0.23822129478338994,1.0
0.7483163355495199,2.0
1.1626680439687598,2.0
0.05221097427824628,2.0
0.7954536717207568,2.0
-0.2326397716849321,2.0
-0.12671976412367414,1.0
-0.057425568383002557,2.0
-0.48739399339919454,2.0
-0.7791062707617453,2.0
0.14640645417702053,2.0
0.5279851760867604,2.0
-0.38640381494758347,2.0
-0.4121249710024224,2.0
-0.7496808647653933,2.0
-0.4793656647850843,2.0
1.1002300580298985,2.0
1.4042182506261214,2.0
-0.8524369461661578,2.0
1.548822113718355,1.0
-0.3630961563784083,2.0
0.14237058389507495,1.0
-0.06856985490466455,2.0
1.6059517830492327,2.0
-0.1299815696203137,2.0
2.304833803680964,2.0
-1.2578879948052002,2.0
-0.13119635279863218,2.0
0.576936782222822,2.0
0.6063416074054438,1.0
-0.7864816992585447,2.0
-0.7882399704791857,3.0
-0.8959863945993203,2.0
0.9073499918569088,2.0
-0.9554625120750612,1.0
0.00997085656665253,2.0
1.8109979598264232,1.0
1.1004581214325337,2.0
-0.20338062933222334,1.0
-0.9505106855401613,1.0
-0.41447460264059194,2.0
-0.4693417592733887,2.0
2.014141480921896,2.0
0.014084816693330393,1.0
1.6609691172257781,2.0
-1.1874474493326101,1.0
-0.5804183644762436,2.0
1.3038889713820339,2.0
1.531568343524345,2.0
-1.269792652256086,2.0
-0.18101233674068518,2.0
-0.8437917678840452,2.0
0.0030824047517136743,2.0
-0.20071121694957578,2.0
0.3565560411790459,2.0
-0.011006635989662672,2.0
0.02275909353077038,2.0
0.12316073612121259,2.0
0.5683725363591317,2.0
-0.4772839167607881,2.0
-0.7406377626213657,2.0
-0.05009949591598689,2.0
-0.48640742062938547,2.0
0.29747410202710917,2.0
-0.43079833007027285,1.0
-0.39634078182530835,2.0
-0.15239752266432338,2.0
0.9227151092838431,2.0
0.09417064140207343,2.0
1.3991608597993594,2.0
1.0899234595500398,2.0
0.04963676852759347,1.0
0.26963388781668945,2.0
0.9810379492401721,2.0
0.44357155509944907,2.0
0.6551264118353802,2.0
-0.07017090942380133,2.0
0.4030019770628898,1.0
1.4049295835374025,2.0
-0.9698400505344451,2.0
-0.01058048549833368,3.0
0.2839000478506415,2.0
0.9852281261171985,1.0
1.4570570925036852,2.0
-0.11885629604783238,2.0
-0.9740863739890973,2.0
-0.8633715655852123,2.0
-0.13652583652611855,2.0
1.55308543683083,2.0
-1.0136879498029208,2.0
1.224268818012617,2.0
-0.04930966133728992,2.0
-0.7568416110762373,2.0
-0.26489396226721507,2.0
-0.4138010531539234,2.0
-0.2705169100699272,1.0
0.8704968466720518,2.0
0.21834134782011982,2.0
1.8568498809378586,2.0
1.7518673069529649,2.0
0.13493151281959914,2.0
-0.13336618793454408,2.0
-0.028080603908829938,2.0
0.32827883696115023,2.0
-0.8217694268923149,1.0
-0.09082639139043297,2.0
-0.35669101707119844,2.0
-0.31658822778335394,2.0
1.595548854926378,2.0
-0.9651141501506768,2.0
-0.7687857382222777,2.0
-0.4454292460125654,2.0
1.0573255339495442,2.0
1.0236874363908204,2.0
0.5747612227410086,1.0
-0.6197726593739497,2.0
0.2765117150849633,2.0
2.1143030743628,2.0
0.022408825881058136,2.0
-0.17055120904257112,2.0
0.19437401828682904,2.0
-0.1530069636677015,2.0
-0.19896140458569933,2.0
-0.2138656893555415,2.0
-0.22713275104145425,2.0
-0.03712976329231324,2.0
1.1786263953340053,2.0
0.17584432208321493,2.0
0.09657485650132669,2.0
-0.4014516635895068,2.0
-1.048040808823425,2.0
2.1465458883704223,2.0
-0.07095379962650548,3.0
-0.5143741415132022,1.0
0.9206001039587048,2.0
1.6436748782669743,1.0
-0.766645499074406,2.0
1.9741441600643843,2.0
-0.8106224793551364,1.0
-0.09906658710287863,2.0
1.2789658389123568,2.0
0.5134609374411488,2.0
-0.7518400425492139,2.0
-0.4237369973996098,2.0
0.5736175090502118,2.0
-0.5578009706631811,2.0
-0.38309279947980707,2.0
0.3716605812855516,2.0
