sal_9_lc2vs0_iate,emplx2_4
-6932.178355014537,2.0
1291.9155201228223,2.0
9281.708607264994,2.0
-12978.338275873984,2.0
1952.25252313814,2.0
10377.726695461499,2.0
7914.967761881362,2.0
4455.85071071192,1.0
-3508.419023812868,2.0
410.9508612491313,2.0
6290.388997782257,2.0
-4333.534849608552,2.0
2495.6105910040715,2.0
11573.572138781248,2.0
8093.47382708224,2.0
-1120.5083901057856,2.0
2426.526170273817,2.0
-15696.125874088948,2.0
-2389.180608385672,2.0
997.8259359808043,2.0
-603.3623605982743,2.0
-981.9430161260739,2.0
-4403.282703834135,3.0
-1895.4678160142275,2.0
-1842.9655752604622,2.0
-13575.330189126256,2.0
-7947.545701293613,2.0
-526.7873166249417,2.0
-3200.881918408886,2.0
5211.211698850149,2.0
-11387.579605849704,2.0
2684.4525440770703,2.0
11194.202483531146,2.0
-1730.0301319696332,2.0
-4998.881299723959,1.0
-7942.387556937717,2.0
2464.7816680215624,2.0
-1170.8427086480426,2.0
7723.885263733791,2.0
8404.263204098459,2.0
2937.662086079463,2.0
-10699.987033284022,2.0
10405.304917276795,2.0
-5803.283265415258,2.0
-5903.324585277557,2.0
8038.460916737424,2.0
-2740.720323520282,2.0
7685.023340081178,2.0
2723.8688942700196,2.0
6980.348825692408,1.0
5396.756857395763,2.0
4404.331190382618,2.0
-4594.1820507883895,2.0
2466.6409825212636,2.0
4489.383879584266,2.0
5656.241607252827,2.0
11.799167419368246,2.0
5081.028325304988,2.0
3261.5365524324807,2.0
5911.347914581707,2.0
5264.29179009819,2.0
-1166.7256237782747,2.0
-3789.272108964379,2.0
-11890.184920528678,2.0
7261.6976114167,2.0
7352.914629251727,2.0
4280.31984587616,2.0
-2720.5456522770232,2.0
-6308.0222858818615,2.0
-4048.8408728880877,2.0
2362.6440471767173,2.0
-1347.8377961379854,2.0
6213.584133947088,2.0
-1700.490298850507,2.0
-8003.173565816622,2.0
-5972.72081883114,2.0
-3028.5193650613514,2.0
7348.452453955156,2.0
8611.843872706277,2.0
-14312.666499685225,2.0
-4042.79130324048,2.0
5708.307348714806,2.0
-12738.05230739297,2.0
-2497.97102092316,2.0
8766.865378077231,2.0
2346.4539026115785,2.0
6520.916487579866,2.0
220.35106455649702,2.0
7427.4853645143485,2.0
3414.396151481817,2.0
-3455.5473872078646,2.0
-8716.253454993264,2.0
-1718.8479162250899,2.0
8723.711914155012,2.0
-11701.906461145838,2.0
-4080.038197410306,2.0
6802.658995238471,2.0
-553.9737313732176,2.0
-3766.224961113752,2.0
5192.466604861494,2.0
-10413.515937904416,2.0
-768.3287526829247,2.0
7052.605547689949,2.0
11136.832701730653,2.0
5064.898640926953,2.0
-10924.401350901482,2.0
-2212.7842442435694,2.0
413.264860289994,2.0
-1712.5202526169364,2.0
7833.153758958072,2.0
1785.7901707948831,2.0
10557.03249362278,2.0
8212.81031760507,2.0
1616.5459143232774,1.0
-6870.609317514978,2.0
-9828.480101361482,2.0
-4797.389348804548,2.0
4280.462261791395,2.0
-325.91056761433947,2.0
5711.8128969792415,2.0
-1616.934748031528,2.0
-1958.0195698673751,2.0
-8523.935055281756,2.0
-687.0867606715537,2.0
7669.421078148753,2.0
-1317.4390376196634,2.0
-3606.790945752563,2.0
8125.107921582176,2.0
7844.951897816578,2.0
-7704.754800241685,2.0
-9419.488127015577,2.0
-3083.9882602451303,2.0
-2251.0816256231883,2.0
6635.060779256601,2.0
1827.6640643892447,2.0
-6438.723731536391,2.0
7663.414865948408,2.0
-43.971118832364766,2.0
-2252.646010792234,2.0
4771.6937951618065,2.0
-667.4065123950263,2.0
-16633.805960078487,2.0
1867.8557520903337,2.0
5350.664541953188,2.0
2819.723293822669,1.0
2435.2146176240376,2.0
7753.538026162213,2.0
-12229.619757260505,2.0
-3061.8653851803665,2.0
-9263.368496937575,2.0
3150.345979882081,2.0
7430.155867646198,2.0
8917.890690591077,2.0
