upper,effects,lower,ate,ate_l,ate_u
-11064.106319347873,-16589.485152432113,-22114.863985516353,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11055.080562812165,-16564.95348299816,-22074.826403184154,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11002.008472291749,-16541.07297826316,-22080.137484234572,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11019.566427226076,-16517.28846857663,-22015.010509927182,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11007.385780190802,-16494.119127269107,-21980.85247434741,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11006.869054410938,-16470.948179851817,-21935.027305292697,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11024.963282585066,-16448.81318671779,-21872.663090850518,-7232.653719973279,-5615.921863886084,-8849.385576060475
-11019.082181381022,-16426.805801470466,-21834.52942155991,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10996.860614852349,-16404.801357057466,-21812.742099262585,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10966.091885757833,-16382.907148005861,-21799.72241025389,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10952.56776873984,-16361.470722165026,-21770.373675590214,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10923.377967431154,-16339.71457878683,-21756.051190142505,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10912.734021502481,-16318.678734388312,-21724.62344727414,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10919.417446870048,-16297.486667914274,-21675.5558889585,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10907.8472930379,-16276.350891240692,-21644.854489443485,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10906.86221899771,-16255.331920499106,-21603.8016220005,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10889.412569229928,-16234.138587490967,-21578.864605752005,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10866.435044502578,-16212.768273038198,-21559.10150157382,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10862.079485438657,-16191.671848684595,-21521.26421193053,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10868.95047084037,-16170.164240935734,-21471.378011031098,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10853.500221101755,-16148.673657034986,-21443.847092968215,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10862.691152046998,-16127.078160985142,-21391.465169923285,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10866.780947800116,-16105.57847970677,-21344.37601161342,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10874.69889804533,-16084.075666206098,-21293.452434366867,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10851.236249341177,-16062.876806644525,-21274.517363947874,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10815.423677975872,-16041.81885401546,-21268.21403005505,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10783.129282526648,-16021.14672589029,-21259.164169253934,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10769.079517750615,-16000.81289191797,-21232.546266085326,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10744.40747999272,-15980.777709053074,-21217.147938113427,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10714.433720140303,-15960.745170194281,-21207.05662024826,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10699.491472519254,-15940.911245589627,-21182.33101866,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10676.418949329869,-15921.1778156294,-21165.93668192893,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10638.622444475594,-15901.421360840814,-21164.220277206034,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10626.323097118646,-15881.225562804915,-21136.128028491185,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10617.899830511356,-15861.277858227977,-21104.655885944598,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10602.586187156372,-15841.356117617115,-21080.12604807786,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10596.235745343314,-15822.690327782426,-21049.144910221537,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10576.91924508039,-15803.810565263784,-21030.70188544718,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10568.49999186078,-15785.275116419534,-21002.05024097829,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10549.454065468763,-15766.816898180494,-20984.179730892225,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10517.627601138489,-15748.061059557065,-20978.49451797564,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10520.352003407745,-15729.777697790301,-20939.203392172858,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10492.849431281073,-15711.457183664957,-20930.064936048842,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10474.273945716339,-15693.5598665302,-20912.845787344064,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10460.455785662167,-15676.094927994684,-20891.7340703272,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10418.85196377501,-15658.337266554057,-20897.822569333104,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10435.58092890399,-15640.569591615036,-20845.558254326083,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10435.42666561406,-15622.427280429596,-20809.42789524513,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10451.218945146953,-15604.286706833274,-20757.354468519596,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10430.15599173019,-15585.853430549796,-20741.550869369403,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10412.898300715857,-15568.18485562095,-20723.471410526043,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10395.349580080394,-15550.563538933739,-20705.777497787083,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10375.29175595021,-15532.90676136608,-20690.521766781952,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10354.471999686166,-15515.613151974192,-20676.75430426222,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10352.001891027641,-15498.338431473923,-20644.674971920205,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10329.286889092711,-15481.62542355118,-20633.96395800965,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10278.489418380512,-15465.289476825461,-20652.08953527041,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10268.98964701027,-15448.902243571045,-20628.814840131818,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10272.56037006013,-15432.366869089927,-20592.173368119722,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10251.66618782037,-15415.811096627604,-20579.956005434837,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10234.163955110758,-15399.42369806329,-20564.683441015823,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10210.359174436357,-15383.141330250697,-20555.92348606504,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10219.600356477371,-15366.86419392968,-20514.128031381988,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10207.36805771646,-15350.171761956708,-20492.975466196956,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10196.844332101122,-15333.678855946697,-20470.51337979227,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10155.402598663535,-15317.093873452903,-20478.78514824227,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10137.317193246061,-15300.53518060019,-20463.75316795432,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10116.686515140924,-15283.895300950062,-20451.104086759202,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10124.723104599529,-15267.31897696635,-20409.91484933317,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10092.185869562145,-15250.919035173247,-20409.65220078435,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10087.071150510998,-15234.718252898256,-20382.365355285514,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10088.15707099055,-15218.62674090005,-20349.09641080955,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10046.559698740086,-15202.53962744711,-20358.519556154133,-7232.653719973279,-5615.921863886084,-8849.385576060475
-10037.693200185173,-15186.189321939668,-20334.685443694165,-7232.653719973279,-5615.921863886084,-8849.385576060475
