earn_x0_lc2vs0_iate,olf_x0
147.74575973292212,63.0
128.8653803469038,56.0
207.96029480347812,21.0
177.81251229331673,24.0
188.21947895617956,22.0
112.28293932500358,47.0
171.1365896910213,32.0
159.04584533307846,29.0
189.41754806278269,26.0
168.41028298647132,54.0
113.4755796291195,30.0
120.29753911882426,5.0
265.1406663167949,57.0
185.2362783423171,42.0
269.8556201675845,34.0
227.14295693414525,19.0
163.13508273074154,53.0
123.47523790310777,58.0
211.95759395727072,48.0
176.1468131465956,66.0
225.41385242992786,50.0
368.91868831514125,14.0
202.82458977692767,69.0
-40.981814078924685,63.0
59.38383166000574,7.0
174.71774364633868,32.0
-0.6958999740741092,41.0
370.6962360952436,60.0
62.25038906148694,39.0
196.42203089092956,48.0
310.3844419140791,25.0
323.24588566643024,60.0
85.37745300804932,6.0
355.4710155417963,14.0
108.5645004158992,56.0
