upper,effects,lower,ate,ate_l,ate_u
-31013.834231493667,-39216.91043411735,-47419.986636741036,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30998.127597055063,-39198.491814041256,-47398.85603102745,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30991.986896045895,-39180.414754347614,-47368.842612649336,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30967.08062623355,-39162.69090274437,-47358.301179255184,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30947.7011593267,-39144.31095088683,-47340.92074244696,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30928.040432501486,-39125.90967093779,-47323.7789093741,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30910.97866103425,-39107.66330325067,-47304.347945467096,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30914.091070504444,-39089.444782464634,-47264.798494424824,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30897.695679851422,-39071.221149290526,-47244.74661872963,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30868.24289340791,-39052.837738314774,-47237.43258322164,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30853.61735086209,-39034.09365358483,-47214.569956307576,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30833.39752412102,-39015.28983193404,-47197.182139747056,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30827.029277665006,-38996.16993955435,-47165.31060144369,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30815.402813390687,-38977.07497474751,-47138.747136104335,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30801.957621219408,-38958.13630900195,-47114.314996784495,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30797.24835222432,-38939.08103018056,-47080.9137081368,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30786.71133764775,-38919.952492163044,-47053.19364667834,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30793.334652258127,-38900.86160115046,-47008.388550042786,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30769.67203243309,-38881.95606747526,-46994.240102517426,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30760.072888503826,-38863.07997319819,-46966.08705789255,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30763.30471862689,-38844.33748743144,-46925.37025623599,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30744.46752921684,-38825.499850088556,-46906.53217096027,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30739.15191480377,-38805.97048826056,-46872.78906171735,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30724.272831426057,-38786.13455134978,-46847.9962712735,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30695.053627794437,-38766.47340108563,-46837.89317437681,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30668.827230977266,-38746.42697772883,-46824.02672448039,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30645.875497599714,-38726.089473171196,-46806.30344874268,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30640.265501495483,-38705.520168675816,-46770.77483585615,-27914.231731401036,-25946.026365519847,-29882.437097282225
-30632.361044472695,-38684.541643239354,-46736.72224200601,-27914.231731401036,-25946.026365519847,-29882.437097282225
