sal_avg_lc1vs0_iate,unem_x0
-3923.8094815536824,3.0
-6012.458123978594,24.0
-1908.3100156375795,14.0
-9083.872791494341,15.0
-998.0694382643399,15.0
-6671.742299915239,6.0
-12379.881014613526,12.0
-4216.219277321648,16.0
-6693.013615916121,15.0
-11071.208568010901,18.0
-2478.5437541492456,6.0
-488.41337405113387,14.0
-13691.720528061978,11.0
-14128.533776318436,4.0
-15912.337258743926,13.0
-6756.45890750644,10.0
-8183.009400915585,17.0
-9451.040630731291,6.0
93.47101372796851,21.0
-915.5316926913902,20.0
-13203.22852541862,10.0
-8542.443471992334,1.0
-11755.0004357309,22.0
-10728.017803723189,19.0
-4820.271094648851,22.0
-5014.965581160821,8.0
-5736.636853917385,19.0
-12197.97238310924,12.0
-4411.5913038615545,24.0
-8965.257763357768,1.0
-4581.807766112252,11.0
-5883.638922952283,17.0
-1220.4746276351084,10.0
785.589066543915,17.0
-4930.2394592706505,2.0
-7355.310471452321,2.0
-6842.912065521709,20.0
-8311.348487358666,7.0
-15470.406179081358,12.0
-1384.8947845838265,17.0
-5625.061268035524,22.0
-5395.674851029242,23.0
-15147.025265905453,2.0
-2822.5401888264732,6.0
-6903.310919547794,15.0
-423.3990086408403,20.0
-3055.200210756786,12.0
-13555.96118554968,11.0
-3565.720696760329,18.0
-2868.2662463800334,14.0
-4596.493203592747,2.0
-6738.540313802256,14.0
-6028.078368799316,11.0
-14046.276332787982,6.0
-5652.72043934389,18.0
-6392.651848260659,20.0
-11651.224493031139,5.0
-5094.066725552313,21.0
-3774.5193787867865,0.0
-11254.285114087923,4.0
-4794.233587543226,15.0
-2693.174591155996,12.0
-5392.059907346633,15.0
-986.6002414598258,5.0
-281.546751230607,7.0
-9157.941354466155,14.0
-13578.040745633969,21.0
-7487.506792336424,6.0
-3109.370698012696,4.0
-3913.212134558622,20.0
-14162.201534433103,10.0
-12089.657537156761,21.0
-4952.782302663369,9.0
-21019.058765765585,8.0
-14377.802785873373,7.0
-1768.7706594950732,8.0
-13032.786842559997,1.0
-1578.4339274905042,18.0
-2951.3700701380494,14.0
-15797.855253188938,19.0
-4429.47446653013,17.0
-4838.923590867562,6.0
-4005.9592596586826,6.0
-2919.7176323197987,8.0
-4806.106171835136,11.0
-3854.88029194318,11.0
-5716.18291391208,14.0
-1170.2571990466831,4.0
436.69824798151535,11.0
-3219.776626640808,20.0
-1996.0484140403523,21.0
-18129.880000110792,2.0
-18359.97289274449,1.0
-8083.324319560273,19.0
-1210.0758095611682,5.0
-8592.231622147414,18.0
-5871.968701092865,10.0
-11569.190347748565,22.0
-6968.749078568316,8.0
-3664.679630900388,10.0
-5548.876307371851,10.0
-5627.451770555056,10.0
-8283.528353936686,1.0
-7160.991087807062,6.0
-310.37168021049666,2.0
-1435.81757479522,11.0
-7042.406618480248,2.0
-4984.466581442167,17.0
-56.33232408046399,5.0
-890.7201069562046,5.0
-5623.532942652185,6.0
-5396.959513890427,4.0
-6354.2047238725245,14.0
-13081.17382256627,5.0
-3516.0683503919927,20.0
-13179.94609430019,18.0
-1402.111887458308,9.0
-5064.680268330812,22.0
-15142.039150547493,15.0
-12184.73664889874,18.0
-11721.258057564693,7.0
-3554.0336516271755,4.0
-2336.8611008700263,4.0
-3087.4219225710112,17.0
-8116.243235099301,4.0
-4256.0200047777635,1.0
-3166.268722738242,21.0
-5083.0984799002235,2.0
-7249.23949243726,2.0
-7654.06532204916,16.0
-5036.03412197274,8.0
-2927.630551073811,5.0
-1845.1371319304162,3.0
157.73924563196374,16.0
-1310.7774424573422,16.0
-3778.1149199964834,3.0
-2314.6919275686773,10.0
-12962.884879629297,4.0
-3063.3670505006558,0.0
-20362.931802059928,16.0
-15476.81090667004,15.0
-7412.540871392797,9.0
-11445.4817573018,9.0
-2723.537583021283,10.0
-2675.113382706031,7.0
-4006.180352637507,21.0
-3638.164227558788,9.0
-1908.2944285240153,3.0
-9689.440983130307,9.0
-2557.614153720252,15.0
-16016.323432450354,6.0
-9480.10639658089,22.0
-6308.700603407122,7.0
-979.3349252982796,14.0
-3821.86625847277,2.0
-10013.198275762868,16.0
-6690.749180257397,23.0
-13466.165737206346,15.0
-4166.463158603381,15.0
-6964.490701030815,22.0
-5169.819878103177,18.0
-2257.6984564895297,21.0
-13247.345947612273,2.0
-1294.5215235593967,2.0
