sal_5_lc1vs0_iate,nation
-3762.1648396423534,1.0
-19361.085006410198,1.0
-12052.565239925163,1.0
-8055.876455009157,1.0
-16691.86899314839,1.0
-3757.2080744290997,1.0
-14724.393009067593,1.0
-17650.27822529831,1.0
-8161.274725015801,2.0
-3868.150931547078,2.0
-2860.225689170931,1.0
-1264.0581286288216,1.0
-3292.8326243829506,1.0
-3993.2293870384838,2.0
-4490.346974860507,2.0
-11054.164837765007,1.0
-5057.371420649314,3.0
-2449.5645227505665,1.0
-17199.482490247243,1.0
-2991.0258087594484,4.0
-4669.210382787475,1.0
-16927.361801831797,3.0
-5843.014669428844,1.0
-3690.5087075217198,1.0
-7315.478532403147,1.0
-6714.642521930569,1.0
-19358.468273959777,1.0
-5603.0002534553005,2.0
-10955.653931442166,1.0
-18097.35258476755,1.0
-10401.246479376763,2.0
-1960.0152117439484,1.0
-2795.1685935445166,2.0
-2233.233310522226,5.0
-10868.800457349389,1.0
-13142.904644023045,1.0
-6454.702169406894,1.0
-2630.7719122794097,1.0
-4264.490825240418,1.0
-16455.66382051996,1.0
-2492.281474215707,1.0
-3110.336474366468,1.0
-11223.91341478086,1.0
-3738.894932654523,4.0
-18109.55902748087,1.0
579.8158802876787,1.0
-15250.272942428675,2.0
-8101.931869487562,1.0
-2445.1763927080247,5.0
-4465.167035904513,1.0
-3745.713252361049,1.0
-11482.557095433414,1.0
-11516.241555415801,2.0
-4512.883957506433,1.0
-1405.3459305162178,1.0
-1576.2464316176447,2.0
-10495.713420195825,4.0
-2943.58440210389,2.0
-15642.173384855014,1.0
-13241.856527234784,1.0
-10198.526927357783,1.0
-3574.5137673055333,1.0
-6827.477291915506,1.0
-7961.984160896089,1.0
-10126.717990596379,1.0
-2632.6895831248753,1.0
-3943.175366577926,1.0
-4390.74617309137,1.0
-15269.719266527369,2.0
-12962.04855683481,1.0
-3654.3790123092876,1.0
-21156.335599943504,1.0
-2423.444594093563,1.0
-3400.7851779743132,1.0
-2371.259333632661,2.0
-3738.545049828699,1.0
-2203.3220438418284,3.0
-4479.20440926819,1.0
-15167.528002737048,1.0
-10643.47237367184,1.0
-19227.588470580304,1.0
-14799.172145328896,2.0
-3755.910929113239,1.0
-17922.858419944914,1.0
-6181.17219468858,1.0
-2860.507261725461,1.0
-4101.843313789837,2.0
-3913.1207266700985,2.0
-16264.234775985627,1.0
-857.4354653351766,1.0
-10233.809784437206,5.0
-1377.4099587296414,1.0
-1478.9249298973627,1.0
-3080.410088318662,1.0
-19027.076364969653,1.0
-7802.115792299737,2.0
-6135.640984387467,2.0
-10203.576918896953,1.0
-7444.087259055194,1.0
-10427.682298590595,1.0
-2551.486464777772,2.0
-13962.708184571635,2.0
-3630.94934758343,1.0
-15977.527377983737,1.0
-6014.371213921775,1.0
-9853.729247368325,1.0
-787.1823843000875,1.0
-5677.241449137915,1.0
-4929.939538248952,1.0
-1317.8620047305594,3.0
-3844.514582813651,1.0
-1473.9857713366546,1.0
-9565.258531096239,1.0
-22888.132845912776,1.0
-2476.891000247582,2.0
-3077.7652559311355,2.0
-10757.454193004238,1.0
-11742.980529328412,1.0
-6190.859023948769,2.0
-2481.1058327355886,1.0
-4168.830763570226,1.0
-4490.3833111778795,1.0
-3276.267805755005,1.0
-18483.07218581131,5.0
-14854.461592243993,3.0
-2883.446412209013,2.0
-6377.894820712796,2.0
-79.27416824428656,1.0
-5587.330296406262,2.0
-4954.647565901931,1.0
-4970.11403225349,1.0
-664.0492887419314,1.0
-6324.459840633716,1.0
-1470.3900631704273,1.0
-3849.80424800733,1.0
-5887.265894279721,1.0
-2329.783024485874,1.0
-4551.45137894025,1.0
-13667.322616121693,1.0
-15814.438695545708,1.0
-4507.008783297353,5.0
-3660.013829493142,1.0
-3216.207971950963,1.0
-7186.355802616834,1.0
-9511.760592975406,1.0
-17350.617094777568,2.0
-2715.7545071462755,1.0
-5851.947190368298,1.0
-3173.6235619889294,2.0
-2758.592920998879,5.0
-20519.205811774173,1.0
-15000.628065099576,1.0
-15996.780834962674,2.0
-12210.683055089416,5.0
-6474.691890358326,1.0
-11853.347807905691,1.0
-1707.162300462056,1.0
-13076.80879084099,1.0
-14508.530472821625,1.0
-9315.622322192043,2.0
-3420.2335676136518,1.0
-18122.030294775752,1.0
-16100.887605421252,1.0
-2377.7661942072264,1.0
-20999.691260721305,4.0
-17689.73420326168,1.0
-17305.489519074687,1.0
