sal_3_lc2vs0_iate,empl_x0
-25125.937615838207,83.0
-25819.76202383475,63.0
-32730.051292864788,63.0
-16669.833983095556,88.0
-25489.694955732033,43.0
-27832.768816949432,69.0
-17174.61863051873,61.0
-21563.291440070705,114.0
-24644.28418367316,66.0
-27237.70961291191,51.0
-38218.05879927337,76.0
-20901.59008416457,48.0
-25047.21283141643,74.0
-33634.33516066231,62.0
-21340.926953322607,90.0
-19278.22211527507,110.0
-35320.80482533877,69.0
-18538.612236929534,50.0
-25059.70627646927,62.0
-21217.994645433486,45.0
-19851.079716475062,113.0
-34608.93080850868,60.0
-30852.285154871024,77.0
-33828.921816667455,45.0
-28022.1009578773,67.0
-25142.921330119643,68.0
-33074.27975698927,86.0
-27398.66895864672,82.0
-18225.931824018036,86.0
-35533.71531955847,86.0
-34172.349314818726,66.0
-26886.73487517306,47.0
-17646.310690535407,78.0
-19547.856293974743,34.0
-24635.56256526048,33.0
-34023.57204057347,77.0
-36193.38028757106,68.0
-18709.7471238491,45.0
-23152.37518806922,64.0
-26229.87834386127,42.0
-25522.847190435947,57.0
-24798.193220459223,69.0
-17245.916531184863,35.0
-33156.03756044054,71.0
-19820.227714601864,75.0
-24336.73745277909,48.0
-36399.76915556001,98.0
-23426.464540733316,57.0
-27027.838757866648,83.0
-30792.825904996287,42.0
-30617.816763591123,90.0
-22525.716509713773,45.0
-23160.875744155237,114.0
-22106.545917748423,81.0
-34836.099536141046,62.0
-27876.849113531833,84.0
-25058.31273713783,91.0
-27188.02692057826,95.0
-34893.83527522296,114.0
-27176.289954226057,54.0
-25563.189889551493,78.0
-34684.39267021869,74.0
-22733.477354484174,92.0
-35860.59710783876,95.0
-32446.740354625737,74.0
-33031.55965510178,49.0
-30292.396905925474,95.0
-36318.71627138833,48.0
-18477.77637173063,108.0
-27414.81871572235,49.0
-23282.712466783672,101.0
-26329.604266616167,57.0
-17752.34362524809,38.0
-26381.655331667196,53.0
-19656.539563336657,75.0
-19705.938409859693,99.0
-24141.451258457833,39.0
-32648.42370064257,57.0
-23195.050217198084,92.0
-26145.729329826678,49.0
-21831.939523839457,84.0
-20561.797537066544,61.0
-32092.200488737813,101.0
-20874.823888315812,77.0
-18390.444922036866,17.0
-17581.784620480816,93.0
-31994.417344983172,80.0
-20318.12273531877,57.0
-33013.62486471573,93.0
-29065.97282123175,77.0
-36189.09717835979,39.0
-26524.9340471557,62.0
-23618.74010676117,59.0
-27436.09691136128,90.0
-23529.69309151799,32.0
-29304.31604345957,20.0
-18870.69309256642,100.0
-17329.986524657812,39.0
-31330.304509894046,102.0
-35145.56324683412,84.0
-18292.31528284338,64.0
-34673.101195540265,71.0
-32392.813568759426,55.0
-16902.59745110951,81.0
-18513.455818153445,59.0
-25592.57481636578,49.0
-27122.551073176815,59.0
-27764.026061508972,80.0
-19362.81772390627,92.0
-35354.19253215492,54.0
-24718.8656739839,42.0
-35383.99046511985,63.0
-30520.847439826874,81.0
-22288.206341728815,63.0
-23322.78513840155,79.0
-32031.839411383746,68.0
-17500.054088385998,65.0
-18576.359571884987,62.0
-27130.013547196977,111.0
-30712.264106407332,67.0
-33293.16887275921,104.0
-18616.01432568999,89.0
-22657.363759202708,52.0
-37025.2061957037,97.0
-23561.831877217028,91.0
-25714.701988006564,61.0
-20914.68413166959,92.0
-31131.910216227174,95.0
-21766.080540189076,94.0
-24836.642954595347,44.0
-27627.044504809055,90.0
-17881.34361443851,52.0
-23933.6196049508,63.0
-29283.687777447325,49.0
-19161.817221421676,51.0
-31248.140383671387,55.0
-23843.708453736916,76.0
-34508.635288330624,65.0
-23902.656568940274,84.0
-19924.31452002137,51.0
-35265.424382860794,112.0
-33163.494242964945,80.0
-24396.079493323876,99.0
-28691.55356248495,73.0
-24892.581413547072,49.0
-25788.78857013103,72.0
-40122.26217986493,69.0
-21918.831368313004,92.0
-35335.72289416919,94.0
-25744.996218226,94.0
-35704.79592504735,74.0
-23825.84923834676,62.0
-20058.332982298103,60.0
-24087.983864640715,74.0
-33975.254606394374,96.0
-23387.159979339507,41.0
-18458.72739039635,80.0
-36840.366558956535,94.0
-19225.15439207768,77.0
-24327.74546190701,72.0
-27300.795344799728,66.0
-20309.425343041585,100.0
-16666.62567098889,51.0
-31806.32472182964,63.0
-22549.53494954626,81.0
-21073.922165787,89.0
-32530.086155525758,63.0
-33213.576352422286,49.0
-33967.563586151955,58.0
-39395.15362047124,98.0
-30133.147879516226,52.0
