empl_ttl_lc2vs0_iate,unem_x0
-11.927398945498098,2.0
-10.312970795507404,18.0
-9.16142907366502,7.0
-9.403886541542555,19.0
-10.603975553321636,11.0
-9.365216324862917,2.0
-9.685096406644199,13.0
-10.189429069633,4.0
-10.449940888824164,18.0
-10.73232463245694,8.0
-9.603151043325155,5.0
-10.816367908488532,20.0
-8.974083782633512,22.0
-10.297773864315223,17.0
-10.124977638371059,3.0
-10.230482290271954,20.0
-11.727102110567095,4.0
-9.685883518030677,15.0
-9.678025175280197,8.0
-9.266551468225027,18.0
-9.653415473304449,2.0
-9.533101300365246,5.0
-9.624801681241884,14.0
-9.543462292050755,24.0
-9.161316154326116,9.0
-9.127475155395926,20.0
-11.820894148831881,23.0
-10.075995638259517,11.0
-8.984769134886065,4.0
-11.577094558939384,17.0
-9.817298591024283,15.0
-9.657397995904484,24.0
-10.012988842608621,11.0
-9.31840585582992,3.0
-10.159907184091107,24.0
-8.979903712333643,14.0
-11.081938854427861,15.0
-9.615384870846443,15.0
-9.823505602331988,6.0
-11.829948646775026,12.0
-9.874296231819658,16.0
-9.814568306080812,15.0
-11.076380615456106,18.0
-9.0791486092597,6.0
-9.344166905102647,14.0
-9.715085392845667,11.0
-11.33275930094336,4.0
-11.529789284680426,13.0
-10.465364928717364,10.0
-9.456197747205504,17.0
-10.297665461817681,6.0
-8.273518621198129,21.0
-9.811562973773784,20.0
-10.052191228730639,10.0
-10.674801794720691,1.0
-10.108863242408463,22.0
-11.230916455384932,19.0
-10.58835332088391,22.0
-10.197142617126035,8.0
-10.349528383718761,19.0
-10.894737731676166,12.0
-9.721295287133062,24.0
-9.699786078483418,1.0
-9.64588850672072,11.0
-10.427468503777519,17.0
-9.210488605514547,10.0
-9.001327924667107,17.0
-10.35768070727471,2.0
-10.930790135244278,2.0
-9.84866041148278,20.0
-9.930269803951779,7.0
-11.075813361485359,12.0
-9.864270264775588,17.0
-10.086825620524202,22.0
-10.118815257890322,23.0
-11.566454577069837,2.0
-10.466689443320014,6.0
-11.136859509915475,15.0
-9.459457648298207,20.0
-9.677788345418977,12.0
-10.861777899516726,11.0
-9.212301915080578,18.0
-10.511420303821069,14.0
-9.71549403771031,2.0
-9.855594802073844,14.0
-9.439896816482854,11.0
-11.29654805822896,6.0
-11.57929831698021,18.0
-8.838806230673288,20.0
-10.490477551259904,5.0
-11.168037265359924,21.0
-11.37800118760005,0.0
-11.453002821366777,4.0
-9.826338109627645,15.0
-9.65478292145452,12.0
-10.093760697354334,15.0
-10.02476228838827,5.0
-9.261062406507092,7.0
-11.244661394061048,14.0
-10.44402366509178,21.0
-10.863167332470809,6.0
-10.26493648078852,4.0
-11.16230846070793,20.0
-10.10800006913715,10.0
-11.363692429883084,21.0
-9.988223656601207,9.0
-12.594392268543206,8.0
-11.260865923808373,7.0
-9.978218728818339,8.0
-9.539774821768308,1.0
-9.626627990570483,18.0
-9.676067504993448,14.0
-10.982883645213278,19.0
-9.563660046103275,17.0
-9.217828899435666,6.0
-10.498849573203493,6.0
-9.274779794320636,8.0
-10.208081912792103,11.0
-10.260875153541694,11.0
-10.1304486816485,14.0
-9.079799377311886,4.0
-8.602206324332963,11.0
-9.519263573135712,20.0
-9.301707802920136,21.0
-10.742341745649323,2.0
-12.194500904468685,1.0
-11.395916416057302,19.0
-9.836097107531009,5.0
-9.439983901831942,18.0
-9.897209857136763,10.0
-10.47387243994544,22.0
-10.25916792289393,8.0
-9.787038156415274,10.0
-10.010891813594755,10.0
-10.088921453921083,10.0
-10.003488016321501,1.0
-9.886332812089357,6.0
-9.352284060294286,2.0
-9.336877151152114,11.0
-9.506597303166844,2.0
-11.740425832831573,17.0
-9.793752349647182,5.0
-9.155122123609328,5.0
-9.750169927261872,6.0
-9.195555338754254,4.0
-10.065703383209206,14.0
-9.699552586944726,5.0
-9.531141067290392,20.0
-9.708171891571908,18.0
-8.862672297327272,9.0
-9.739413425853995,22.0
-11.626751086975663,15.0
-11.348254421226805,18.0
-10.334382209200008,7.0
-10.880848826720337,4.0
-10.406230418212054,4.0
-8.228479295944462,17.0
-9.167821269936429,4.0
-9.866934471482587,1.0
-9.626593819804752,21.0
-10.45638782286304,2.0
-10.068972136534594,2.0
-10.769130706757771,16.0
-10.822548001633105,8.0
-10.229617842666464,5.0
-9.707543727968956,3.0
-9.666327419615092,16.0
-9.750479182923407,16.0
-9.980203806027419,3.0
-9.055400755920196,10.0
-10.2856294625394,4.0
-9.05715736661341,0.0
-12.724622901336796,16.0
-11.390411437457486,15.0
-10.274072606935642,9.0
-10.221297080739369,9.0
-9.153841452244768,10.0
-9.740795722283528,7.0
-9.275222187561688,21.0
-10.017512384736582,9.0
-9.954132459097105,3.0
-10.584526386360926,9.0
-9.87072544679836,15.0
-11.762373421681662,6.0
-9.623649140591873,22.0
-10.792906356166494,7.0
-9.29631837977181,14.0
-9.284604242575487,2.0
-10.796416913746503,16.0
-10.979828052319036,23.0
-10.872799393117527,15.0
-10.59561570923621,15.0
