empl_ttl_lc1vs0_iate,sex
6.094628445687494,1.0
-5.898084529935444,2.0
-2.3018638774314897,2.0
-6.6034429280974285,2.0
5.630116212740459,1.0
3.1496391316589847,1.0
6.295598787187169,1.0
3.096863788161045,1.0
-2.1166968607054075,2.0
-2.8847109576155354,2.0
-4.5191034188833346,2.0
-2.6519265540683605,2.0
-2.671738449703691,2.0
5.677310165785743,1.0
-4.426798242511768,2.0
-3.91277315769401,2.0
-3.2834900855775535,2.0
-1.6908441150195213,2.0
-4.498093332932674,2.0
-3.445839681468159,2.0
-1.4553344418542595,2.0
-4.0506810033792116,2.0
-4.215397800178412,2.0
-4.199465155162877,2.0
1.9724954844297633,1.0
-4.185442356137267,2.0
1.285402876376132,1.0
-0.8697966752399457,2.0
-5.5094072108581855,2.0
1.0486381470348118,1.0
-1.803053167129896,2.0
-2.204360219389142,2.0
-4.060083736358665,2.0
-3.4345651038673846,2.0
1.1533941148629259,1.0
-3.835439418933324,2.0
-1.764126881877653,2.0
2.3473561225208526,1.0
-4.403571085487387,2.0
-4.77592527191818,2.0
-3.922201960081952,2.0
-4.1313556866511085,2.0
-5.103462778387858,2.0
-0.855554354569354,1.0
-2.4253469928092652,2.0
-3.813203861001538,2.0
-3.070399934176888,2.0
-0.03486795811430943,1.0
-1.8632702984078333,2.0
-4.718002002322483,2.0
-4.164315656491606,2.0
-2.5923083224887664,2.0
-2.7805457050187634,2.0
-3.5590655468351553,2.0
-4.279246053847592,2.0
2.459416165362348,1.0
6.933864714430991,1.0
2.244727974509967,1.0
2.725740928959718,1.0
2.6726926767040067,1.0
-4.06447447476577,2.0
3.235083425557784,1.0
2.1753656612516084,1.0
-0.8895874407032909,1.0
5.259121056123862,1.0
-3.3761384954354794,2.0
4.712534739596363,1.0
4.415589188476834,1.0
-1.4522867706837872,2.0
-2.831336150790134,2.0
-3.57459792000618,2.0
-4.552315732934243,2.0
-5.546053014606726,2.0
-2.084474819371826,2.0
-3.098097424318858,2.0
0.4980390937887891,1.0
-3.3545013525588776,2.0
-4.761363216701895,2.0
3.4201506616566135,1.0
-4.167926148788123,2.0
-3.904452404247317,2.0
4.151059745535479,1.0
-2.204601101908631,2.0
-2.4965589568720796,2.0
-2.1369326300855085,1.0
-1.6490824149874799,2.0
2.2665808343634186,1.0
-1.6566229367925231,2.0
0.6856338272390512,1.0
5.958954866039089,1.0
2.6001175017899496,1.0
-3.626460928976835,2.0
-2.855376841873995,2.0
-4.919573395820627,2.0
1.7528354965498827,1.0
-0.15516440721868552,1.0
-3.937604800979748,2.0
-2.9152957606648195,2.0
-2.941278682494433,2.0
5.9951819025697874,1.0
-4.445462478092578,2.0
-3.528671774881948,2.0
0.49295283637209075,1.0
-4.129705187956702,2.0
4.304325027493724,1.0
-4.842494406320793,2.0
1.1631983003406186,1.0
-2.56231027974892,1.0
-4.371613841943724,2.0
-3.601876406765669,2.0
-5.0049652609036075,2.0
2.7749260390238693,1.0
2.2439973857395805,1.0
-5.0477798345646665,2.0
-5.227159698876707,2.0
-4.033441411562128,2.0
-0.9372087955972894,1.0
-3.6783800671651945,2.0
4.781497130965573,1.0
1.291465669963298,1.0
-0.588315151616474,1.0
-4.338142791997398,2.0
-1.9116634071140641,2.0
-1.0140964941236161,1.0
1.1474629439390072,1.0
-4.986262116950782,2.0
-2.4725896384416317,2.0
-2.7761054496162116,2.0
2.1245391423944664,1.0
3.0149245611024043,1.0
-4.200012363309174,2.0
4.684040760599509,1.0
-4.9122509857258105,2.0
-2.738032382830116,2.0
-4.723717262323453,2.0
-3.877702873822643,2.0
-5.233646031980637,2.0
-1.5355212471785347,2.0
2.1381094402700542,1.0
0.03373519699493044,1.0
7.140707962671426,1.0
-0.3395727037041292,1.0
-2.5495572609760764,2.0
4.222735137550789,1.0
-0.8305039704737567,2.0
-3.5382141246021575,2.0
-1.8870128010795093,2.0
-2.46563101695815,2.0
3.393976396318651,1.0
-5.338189854924592,2.0
1.9237414271090283,1.0
-4.768848052246385,2.0
-5.182555763626831,2.0
-3.6364896855678075,2.0
4.515313583733087,1.0
-0.29383034354479065,1.0
-2.597188335683062,2.0
1.1859264297729855,1.0
-2.0344254802457273,2.0
-0.2796613648050035,1.0
-3.808773461643332,2.0
3.4507322022022584,1.0
-2.8487865586625114,2.0
5.195053141572877,1.0
-3.118162084458607,2.0
0.9659271115683143,1.0
-4.146635706475787,2.0
-2.39620574719957,2.0
-3.2090474582149646,2.0
-4.987883393459942,2.0
-4.918922901654716,2.0
-5.205698368591528,2.0
0.6302220833949059,1.0
5.317020161126713,1.0
-4.733038837480167,2.0
-3.392239927397201,2.0
0.9900284908068713,1.0
1.4786786624034436,1.0
-1.5959109427591711,2.0
-5.549805071377704,2.0
-2.8149180644257967,2.0
-2.474467532883889,2.0
-2.681714176917369,2.0
3.1727977439587587,1.0
4.178849378987126,1.0
-4.4272637594065385,2.0
-1.7980862068706809,2.0
-4.69829235918634,2.0
-1.036833233080804,2.0
-3.6679408215960336,2.0
-2.6985009868512195,2.0
-5.110087333780244,2.0
-1.137396236751668,2.0
-4.222975636162368,2.0
-4.14252334098035,2.0
-1.5857807612116277,1.0
-4.8321938879430055,2.0
-2.772590756309741,2.0
0.023547521320716136,1.0
6.061643981241941,1.0
-3.036643842836355,2.0
-3.65982040332739,2.0
-2.940051433162132,2.0
-1.8523727970790147,2.0
2.2888266713869676,1.0
4.236892058501377,1.0
-2.9519893361204277,2.0
-1.6936900874516585,2.0
-5.101399250909944,2.0
-3.716375124053755,2.0
5.326358141127221,1.0
2.5479966680692128,1.0
3.040873551998176,1.0
1.8259739344102883,1.0
-3.465309718507436,2.0
